DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
1, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.32555884122848511"
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.044970467686653137"
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.016170067712664604"
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.018082849681377411"
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.018946923315525055"
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.027147915214300156"
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.083629809319972992"
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.071673452854156494"
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.047897800803184509"
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.10851961374282837"
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))"
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))"
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.12748730182647705"
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.037610460072755814"
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.035136546939611435"
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.031182685866951942"
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.032295394688844681"
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.037253554910421371"
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.083013772964477539"
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.13607245683670044"
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.3109399676322937"
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.042495764791965485"
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.012536820024251938"
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.011712182313203812"
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.010394228622317314"
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.010765131562948227"
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.012417851947247982"
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.02767125703394413"
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.045357488095760345"
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))-0.1036466509103775"
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.12748730182647705"
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.037610460072755814"
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.035136546939611435"
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.031182685866951942"
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.032295394688844681"
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.037253554910421371"
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.083013772964477539"
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.13607245683670044"
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.3109399676322937"
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.042495764791965485"
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.012536820024251938"
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.011712182313203812"
